Cust id,Age,Gender,Profession,Salary,Expenditure Allowance,No.of ppl in family,Recency,Frequency,Monetary Value,Frequently purchased product,Average views of the product,Spending score
1,26,Female,Teacher,62026,41560,7,22,23,1982,Product C,9.451443744,21
2,42,Female,Manager,125735,27800,9,19,23,3428,Product E,8.512629623,25
3,41,Female,Manager,152927,62285,8,89,14,4885,Product A,0.033599588,50
4,43,Male,Doctor,112776,52752,9,56,21,1439,Product C,3.731222736,30
5,59,Male,Teacher,103346,15260,3,4,11,4434,Product C,8.020497482,19
6,38,Male,Engineer,164791,27469,5,93,17,6318,Product B,6.355342332,57
7,42,Female,Manager,147434,21369,7,76,1,6066,Product C,6.860288827,45
8,56,Female,Manager,212987,39198,3,87,16,2799,Product B,1.56315846,43
9,51,Female,Manager,263769,15508,7,34,13,4326,Product D,1.51924518,30
10,60,Female,Manager,55206,32918,9,48,17,9752,Product B,4.709288337,54
11,27,Male,Teacher,104167,46340,3,89,0,4882,Product B,9.679893675,45
12,27,Female,Doctor,85415,21314,2,21,1,8263,Product E,7.833331159,34
13,53,Female,Engineer,237998,42999,10,14,5,5460,Product E,8.001105157,24
14,26,Male,Manager,188233,47891,8,10,10,4502,Product D,8.577379161,21
15,18,Female,Engineer,126767,65789,5,68,17,4400,Product B,3.736488985,43
16,40,Male,Teacher,204284,51489,6,55,20,4037,Product D,8.205080282,38
17,23,Female,Engineer,201757,37570,6,22,7,4126,Product A,7.787022086,23
18,63,Female,Teacher,264720,72188,2,85,15,4937,Product E,0.374995299,49
19,42,Male,Doctor,226741,52462,9,34,25,4523,Product B,0.059917388,34
20,31,Female,Engineer,221259,65048,10,16,3,4929,Product A,0.258286663,22
21,40,Female,Teacher,68480,54976,6,25,17,8850,Product D,2.991014052,43
22,39,Male,Doctor,96161,40272,3,51,16,2572,Product D,3.385211535,30
23,36,Female,Teacher,130071,39862,1,15,24,8380,Product B,0.126940149,40
24,34,Male,Doctor,87374,57017,4,29,5,2895,Product B,8.35512659,20
25,20,Male,Doctor,119260,39923,2,35,8,6514,Product D,7.399262539,36
26,49,Male,Teacher,124924,38950,9,48,23,7330,Product C,5.474594101,48
27,40,Female,Doctor,61038,73491,4,50,25,8258,Product A,5.979024539,52
28,22,Female,Doctor,228408,35366,6,18,3,1457,Product C,5.819589185,11
29,29,Female,Teacher,287262,32924,10,77,13,4454,Product E,7.006992612,44
30,25,Female,Manager,88741,74391,9,27,9,6769,Product E,6.429317536,34
31,27,Female,Manager,257209,55738,5,23,6,1788,Product A,2.178040025,15
